   List of levels:

     Level   Energy             Jpi    K
   2653    19/2-     15/2-   1682.9(10)      2.0(4)       0.00e+00   0.00  E2
   3285    23/2-     21/2-   384.9(10)       0.3(4)       1.06e-02   0.00  M1
   3285    23/2-     23/2-   584.8(10)       1.6(4)       3.90e-03   0.00  M1
   3285    23/2-     19/2-   632.2(10)       1.7(4)       3.14e-03   0.00  E2
   3285    23/2-     19/2-   793.2(10)       1.4(4)       1.76e-03   0.00  E2
   3285    23/2-     19/2-   940.2(10)       0.8(4)       1.17e-03   0.00  E2
   4210    27/2-     27/2-   409.5(10)       0.5(4)       9.11e-03   0.00  M1
   4210    27/2-     23/2-   876.5(10)       1.6(4)       1.38e-03   0.00  E2
   4210    27/2-     23/2-   924.8(10)       1.8(4)       1.21e-03   0.00  E2
   4210    27/2-     23/2-   1056.6(10)      0.8(4)       8.98e-04   0.00  E2
   4210    27/2-     23/2-   1509.6(10)      3.7(4)       0.00e+00   0.00  E2
   5279    31/2-   (29/2-)   495.3(10)       0.6(4)       5.73e-03   0.00  M1
   5279    31/2-     27/2-   1001.1(10)      1.0(4)       1.01e-03   0.00  E2
   5279    31/2-     27/2-   1068.9(10)      2.4(4)       8.76e-04   0.00  E2
   5279    31/2-     27/2-   1478.4(10)      1.0(4)       4.45e-04   0.00  E2
   6483    35/2-     31/2-   1204.0(10)      0.2(4)       6.77e-04   0.00  E2
   7813    39/2-     35/2-   1330.0(10)      0.0(4)       5.50e-04   0.00  E2
   2900    21/2-   (17/2-)   939.3(10)       2.4(4)       1.17e-03   0.00  E2
   2900    21/2-     19/2-   1158.3(10)      4.1(4)       8.32e-04   0.00  M1
   3859    25/2-     21/2-   959.0(10)       2.0(4)       1.12e-03   0.00  E2
   3859    25/2-   (21/2-)   1083.9(10)      1.2(4)       8.49e-04   0.00  E2
   3859    25/2-     23/2-   1159.0(10)      2.0(4)       8.31e-04   0.00  M1
   4956    29/2-     25/2-   1096.5(10)      1.2(4)       8.28e-04   0.00  E2
   4956    29/2-   (25/2-)   1261.4(10)      0.8(4)       6.14e-04   0.00  E2
   5372    31/2+     27/2+   787.0(10)       1.0(4)       1.33e-03   0.00  E2
   5372    31/2+     29/2+   1117.5(10)      1.0(4)       8.99e-04   0.00  M1
   6340    35/2+     31/2+   967.3(10)       1.0(4)       1.10e-03   0.00  E2
   6340    35/2+     33/2+   1083.6(10)      0.2(4)       9.62e-04   0.00  M1
   7483    39/2+     35/2+   1143.0(10)      0.6(4)       7.56e-04   0.00  E2
   8670    43/2+     39/2+   1187.0(10)      0.2(4)       6.98e-04   0.00  E2
   8670    43/2+     39/2+   1811.7(10)      0.2(4)       0.00e+00   0.00  E2
   5568    31/2-     27/2-   1409.2(10)      0.3(4)       4.89e-04   0.00  E2
   5568    31/2-     27/2-   1767.5(10)      0.5(4)       0.00e+00   0.00  E2
   6575    35/2-   (33/2-)   727.0(10)       0.6(4)       2.34e-03   0.00  M1
   6575    35/2-     31/2-   1621.8(10)      0.2(4)       0.00e+00   0.00  E2
   4665    27/2-   (25/2-)   970.6(10)       0.8(4)       1.22e-03   0.00  M1
   5131    29/2-   (25/2-)   1437.0(10)      0.6(4)       4.70e-04   0.00  E2

Test of Gamma-ray and Level Energies

        Li ->      Lf    Egamma     Ei-Ef   Diff     Diff/Err
-------------------------------------------------------------

Test of Gamma-ray Energy Sums

        Li     Eg1     Eg2     Eg3     Eg4     Sum1    Sum2   Diff     Diff/Err
-------------------------------------------------------------------------------

Test of Gamma Ray Intensity Sums

     Level    Energy     SumIn    SumOut    Diff      Diff/Err
--------------------------------------------------------------
 105Pd_305    489.10    102.88      0.00    102.9(7)     145.1
 105Pd_307    970.10    108.69    100.67    8.0(15)        5.2
 105Pd_207   1901.95     36.26     31.49    4.8(11)        4.4
 105Pd_309   1741.98    100.52     89.96    10.6(15)       7.1
105Pd_2313   4585.45      1.02      0.00    1.0(4)         2.5
