   List of levels:

     Level   Energy             Jpi    K
105Pd_2319   7482.7524(0)     39/2+   0.0
105Pd_2321   8669.7520(0)     43/2+   0.0
105Pd_2415   5568.0137(0)     31/2-   0.0
105Pd_2417   6574.6831(0)     35/2-   0.0
       n13   4665.0830(0)     27/2-   0.0
       n14   5131.4829(0)     29/2-   0.0

   List of transitions:

     Ei    Jpi_i ->  Jpi_f   Energy          Intensity    Alpha     Delta Mult
------------------------------------------------------------------------------
   4206    27/2+     25/2+   340.7(10)       1.0(4)       1.44e-02   0.00  M1
   4206    27/2+     23/2+   642.2(10)       0.8(4)       3.02e-03   0.00  E2
   4206    27/2+     25/2+   677.6(10)       3.1(4)       2.76e-03   0.00  M1
   4206    27/2+     23/2+   737.1(10)       2.1(4)       2.11e-03   0.00  E2
   5032    31/2+     31/2+   363.7(10)       0.1(4)       1.22e-02   0.00  M1
   5032    31/2+     29/2+   416.5(10)       0.2(4)       8.74e-03   0.00  M1
   5032    31/2+     29/2+   776.7(10)       2.2(4)       2.02e-03   0.00  M1
   5032    31/2+     27/2+   825.5(10)       4.1(4)       1.59e-03   0.00  E2
   6087    35/2+     35/2+   404.7(10)       0.0(4)       9.38e-03   0.00  M1
   6087    35/2+     33/2+   483.1(10)       0.3(4)       6.09e-03   0.00  M1
   6087    35/2+     31/2+   1055.0(10)      3.3(4)       9.01e-04   0.00  E2
   7196    39/2+     39/2+   337.5(10)       0.2(4)       1.48e-02   0.00  M1
   7196    39/2+     35/2+   1108.9(10)      1.6(4)       8.08e-04   0.00  E2
   7196    39/2+     35/2+   1513.6(10)      0.4(4)       0.00e+00   0.00  E2
   8488    43/2+     39/2+   1292.6(10)      0.5(4)       5.83e-04   0.00  E2
   8488    43/2+     39/2+   1630.1(10)      0.5(4)       0.00e+00   0.00  E2
   9899    47/2+     43/2+   1411.1(10)      0.3(4)       4.88e-04   0.00  E2
  11295    51/2+     47/2+   1395.8(10)      0.1(4)       4.99e-04   0.00  E2
   3294    23/2+     21/2-   328.5(10)       0.3(4)       5.45e-03   0.00  E1
   3294    23/2+   (21/2-)   519.0(10)       0.9(4)       1.75e-03   0.00  E1
   3294    23/2+     19/2+   538.9(10)       29.8(4)      4.89e-03   0.00  E2
   3873    27/2+     25/2+   344.1(10)       0.4(4)       1.41e-02   0.00  M1
   3873    27/2+     23/2+   578.2(10)       26.5(4)      4.01e-03   0.00  E2
   4668    31/2+     29/2+   413.0(10)       0.1(4)       8.92e-03   0.00  M1
   4668    31/2+     27/2+   795.3(10)       20.4(4)      1.74e-03   0.00  E2
   5682    35/2+     33/2+   425.8(10)       0.1(4)       8.28e-03   0.00  M1
   5682    35/2+     31/2+   1014.0(10)      15.5(4)      9.85e-04   0.00  E2
   6858    39/2+     35/2+   1176.1(10)      9.8(4)       7.11e-04   0.00  E2
   8124    43/2+     39/2+   1266.0(10)      4.7(4)       6.09e-04   0.00  E2
   9433    47/2+     43/2+   1308.5(10)      2.0(4)       5.68e-04   0.00  E2
  10862    51/2+     47/2+   1429.8(10)      0.7(4)       4.75e-04   0.00  E2
  12393    55/2+     51/2+   1530.3(10)      0.2(4)       0.00e+00   0.00  E2
  14005    59/2+     55/2+   1612.0(10)      0.1(4)       0.00e+00   0.00  E2
   3865    25/2+     23/2+   396.4(10)       0.4(4)       9.87e-03   0.00  M1
   3865    25/2+     21/2+   745.6(10)       1.5(4)       2.05e-03   0.00  E2
   3865    25/2+     23/2-   1165.1(10)      4.9(4)       3.26e-04   0.00  E1
   4615    29/2+     25/2+   749.7(10)       2.4(4)       2.02e-03   0.00  E2
   4615    29/2+     27/2-   814.7(10)       0.9(4)       6.50e-04   0.00  E1
   5604    33/2+     29/2+   988.4(10)       2.9(4)       1.04e-03   0.00  E2
   6901    37/2+     33/2+   1297.6(10)      0.8(4)       5.79e-04   0.00  E2
    781     9/2+      7/2+   339.0(10)       7.8(4)       1.46e-02   0.00  M1
    781     9/2+      5/2+   781.4(10)       15.1(4)      1.82e-03   0.00  E2
   1672    13/2+     11/2+   399.9(10)       4.5(4)       9.66e-03   0.00  M1
   1672    13/2+      9/2+   770.0(10)       1.2(4)       1.89e-03   0.00  E2
   1672    13/2+      9/2+   890.1(10)       14.3(4)      1.33e-03   0.00  E2
   2553    17/2+     15/2+   354.6(10)       0.2(4)       1.30e-02   0.00  M1
   2553    17/2+     15/2+   650.7(10)       1.3(4)       3.03e-03   0.00  M1
   2553    17/2+     13/2+   803.1(10)       0.3(4)       1.70e-03   0.00  E2
   2553    17/2+     13/2+   881.1(10)       10.2(4)      1.36e-03   0.00  E2
   2553    17/2+     15/2-   1582.5(10)      1.7(4)       0.00e+00   0.00  E1
    306     7/2+      5/2+   306.3(10)       37.6(4)      1.89e-02   0.00  M1
   1012    11/2+      9/2+   230.5(10)       0.7(4)       3.93e-02   0.00  M1
   1012    11/2+      7/2+   705.7(10)       33.5(4)      2.36e-03   0.00  E2
   1902    15/2+     13/2+   230.4(10)       0.4(4)       3.94e-02   0.00  M1
   1902    15/2+     11/2+   890.0(10)       30.6(4)      1.33e-03   0.00  E2
   1902    15/2+     15/2-   931.8(10)       0.4(4)       4.97e-04   0.00  E1
   2756    19/2+     17/2+   203.0(10)       0.3(4)       5.50e-02   0.00  M1
   2756    19/2+   (17/2-)   794.6(10)       0.4(4)       6.84e-04   0.00  E1
   2756    19/2+     15/2+   853.6(10)       30.6(4)      1.47e-03   0.00  E2
   2756    19/2+     19/2-   1013.6(10)      1.6(4)       4.22e-04   0.00  E1
    970    15/2-     11/2-   481.0(10)       100.0(4)     6.70e-03   0.00  E2
   1742    19/2-     15/2-   771.9(10)       89.8(4)      1.88e-03   0.00  E2
   2700    23/2-     19/2-   958.4(10)       56.3(4)      1.12e-03   0.00  E2
   3801    27/2-     23/2-   1100.1(10)      27.8(4)      8.21e-04   0.00  E2
   4953    31/2-     27/2-   794.1(10)       0.3(4)       1.75e-03   0.00  E2
   4953    31/2-     27/2-   1152.4(10)      14.9(4)      7.43e-04   0.00  E2
   6072    35/2-     31/2-   867.5(10)       1.0(4)       1.41e-03   0.00  E2
   6072    35/2-     31/2-   1119.1(10)      6.5(4)       7.91e-04   0.00  E2
   7191    39/2-     35/2-   1119.1(10)      4.1(4)       7.92e-04   0.00  E2
   8406    43/2-     39/2-   1214.6(10)      2.5(4)       6.64e-04   0.00  E2
   9724    47/2-     43/2-   1317.7(10)      1.3(4)       5.61e-04   0.00  E2
  11104    51/2-     47/2-   1380.2(10)      0.5(4)       5.10e-04   0.00  E2
  12563    55/2-     51/2-   1459.7(10)      0.2(4)       4.56e-04   0.00  E2
  14103    59/2-     55/2-   1540.0(10)      0.1(4)       0.00e+00   0.00  E2
  15720    63/2-     59/2-   1616.1(10)      0.0(4)       0.00e+00   0.00  E2
    319     5/2+      5/2+   319.2(10)       2.2(4)       1.70e-02   0.00  M1
    902     9/2+      7/2+   459.1(10)       0.9(4)       6.89e-03   0.00  M1
    902     9/2+      5/2+   582.3(10)       1.7(4)       3.93e-03   0.00  E2
    902     9/2+      7/2+   595.2(10)       2.9(4)       3.74e-03   0.00  M1
   1750    13/2+     11/2+   737.5(10)       0.9(4)       2.27e-03   0.00  M1
   1750    13/2+      9/2+   848.0(10)       5.3(4)       1.49e-03   0.00  E2
   1750    13/2+      9/2+   968.1(10)       1.1(4)       1.09e-03   0.00  E2
   2566    17/2+     15/2+   367.6(10)       1.4(4)       1.19e-02   0.00  M1
   2566    17/2+     15/2+   663.7(10)       0.6(4)       2.89e-03   0.00  M1
   2566    17/2+     13/2+   816.1(10)       6.1(4)       1.64e-03   0.00  E2
   2566    17/2+     13/2+   894.1(10)       10.2(4)      1.32e-03   0.00  E2
   2566    17/2+     15/2-   1595.5(10)      0.2(4)       0.00e+00   0.00  E1
    442     7/2+      5/2+   442.4(10)       14.3(4)      7.54e-03   0.00  M1
   1272    11/2+      9/2+   490.2(10)       3.5(4)       5.89e-03   0.00  M1
   1272    11/2+      7/2+   829.2(10)       5.1(4)       1.58e-03   0.00  E2
   2198    15/2+     13/2+   526.5(10)       1.0(4)       5.00e-03   0.00  M1
   2198    15/2+     11/2+   926.4(10)       3.5(4)       1.21e-03   0.00  E2
   3139    19/2+     15/2+   940.6(10)       0.4(4)       1.17e-03   0.00  E2
   2807    19/2+     17/2+   241.5(10)       0.6(4)       3.49e-02   0.00  M1
   2807    19/2+     17/2+   254.5(10)       5.7(4)       3.04e-02   0.00  M1
   2807    19/2+     15/2+   609.1(10)       0.1(4)       3.48e-03   0.00  E2
   2807    19/2+     15/2+   905.1(10)       3.7(4)       1.28e-03   0.00  E2
   2807    19/2+     19/2-   1065.1(10)      0.4(4)       3.85e-04   0.00  E1
   3469    23/2+     21/2+   349.2(10)       4.5(4)       1.36e-02   0.00  M1
   3469    23/2+     19/2+   662.0(10)       1.6(4)       2.78e-03   0.00  E2
   4485    27/2+     25/2+   466.4(10)       0.4(4)       6.63e-03   0.00  M1
   4485    27/2+     25/2+   619.5(10)       0.5(4)       3.40e-03   0.00  M1
   4485    27/2+     23/2+   1015.9(10)      0.4(4)       9.81e-04   0.00  E2
   3120    21/2+     19/2+   312.8(10)       4.3(4)       1.79e-02   0.00  M1
   3120    21/2+     19/2+   364.3(10)       0.9(4)       1.22e-02   0.00  M1
   3120    21/2+     17/2+   567.3(10)       1.2(4)       4.23e-03   0.00  E2
   3120    21/2+     19/2-   1377.9(10)      4.1(4)       2.43e-04   0.00  E1
   4019    25/2+     23/2+   549.5(10)       1.6(4)       4.52e-03   0.00  M1
   4019    25/2+     21/2+   898.7(10)       0.8(4)       1.30e-03   0.00  E2
   5012    29/2+     27/2+   561.4(10)       0.1(4)       4.29e-03   0.00  M1
   5012    29/2+     25/2+   993.5(10)       0.2(4)       1.03e-03   0.00  E2
   1357  (13/2-)     15/2-   386.5(10)       0.1(4)       1.05e-02   0.00  M1
   1357  (13/2-)     11/2-   867.5(10)       0.6(4)       1.57e-03   0.00  M1
   1961  (17/2-)   (13/2-)   604.4(10)       0.61(12)     3.55e-03   0.00  E2
   1961  (17/2-)     15/2-   991.2(10)       7.3(8)       1.17e-03   2.20  M1
   2775  (21/2-)     19/2-   430.5(10)       0.5(4)       8.06e-03   0.00  M1
   2775  (21/2-)   (17/2-)   814.5(10)       3.7(4)       1.65e-03   2.20  E2
   2775  (21/2-)     19/2-   1033.8(10)      9.0(6)       1.07e-03   2.30  M1
   3694  (25/2-)     23/2-   409.3(10)       0.4(4)       9.12e-03   0.00  M1
   3694  (25/2-)     23/2-   541.1(10)       0.4(4)       4.69e-03   0.00  M1
   3694  (25/2-)     21/2-   794.2(10)       0.7(4)       1.75e-03   0.00  E2
   3694  (25/2-)   (21/2-)   918.3(10)       5.1(6)       1.24e-03   0.00  E2
   3694  (25/2-)     23/2-   993.5(10)       2.4(4)       1.16e-03   5.60  M1
   4784  (29/2-)     27/2-   573.6(10)       0.8(4)       4.08e-03   0.00  M1
   4784  (29/2-)     25/2-   924.2(10)       0.9(4)       1.22e-03   0.00  E2
   4784  (29/2-)     27/2-   983.1(10)       0.2(4)       1.19e-03   0.00  M1
   4784  (29/2-)   (25/2-)   1089.3(10)      4.5(4)       8.40e-04   0.00  E2
   5848  (33/2-)     31/2-   568.8(10)       0.7(4)       4.16e-03   0.00  M1
   5848  (33/2-)   (29/2-)   1064.0(10)      2.4(4)       8.85e-04   0.00  E2
   6995  (37/2-)     35/2-   688.5(10)       0.6(4)       2.66e-03   0.00  M1
   6995  (37/2-)   (33/2-)   1147.8(10)      0.4(4)       7.50e-04   0.00  E2
   8297  (41/2-)   (37/2-)   1301.7(10)      0.2(4)       5.75e-04   0.00  E2
   4997  (27/2-)     27/2-   1196.6(10)      0.0(4)       7.76e-04   0.00  M1
   4997  (27/2-)   (25/2-)   1302.7(10)      0.0(4)       6.47e-04   0.00  M1
   4997  (27/2-)     25/2+   1470.0(10)      0.1(4)       2.18e-04   0.00  E1
   5614  (31/2-)   (29/2-)   325.9(10)       0.4(4)       1.61e-02   0.00  M1
   5614  (31/2-)   (27/2-)   616.4(10)       0.2(4)       3.37e-03   0.00  E2
   5614  (31/2-)   (29/2-)   830.0(10)       0.7(4)       1.73e-03   0.00  M1
   5614  (31/2-)     29/2+   1358.6(10)      0.2(4)       2.49e-04   0.00  E1
   5614  (31/2-)     27/2-   1814.5(10)      0.1(4)       0.00e+00   0.00  E2
   6431  (35/2-)   (33/2-)   432.1(10)       0.9(4)       7.98e-03   0.00  M1
   6431  (35/2-)   (33/2-)   582.9(10)       0.6(4)       3.93e-03   0.00  M1
   6431  (35/2-)   (31/2-)   816.3(10)       0.7(4)       1.64e-03   0.00  E2
   7412  (39/2-)   (37/2-)   525.1(10)       0.7(4)       5.04e-03   0.00  M1
   7412  (39/2-)   (35/2-)   980.9(10)       0.5(4)       1.06e-03   0.00  E2
   7412  (39/2-)     35/2-   1104.5(10)      0.6(4)       8.15e-04   0.00  E2
   8616  (43/2-)   (41/2-)   604.0(10)       0.4(4)       3.60e-03   0.00  M1
   8616  (43/2-)   (39/2-)   1204.4(10)      0.5(4)       6.76e-04   0.00  E2
   9997    47/2-     45/2-   685.1(10)       0.2(4)       2.69e-03   0.00  M1
   9997    47/2-   (43/2-)   1381.0(10)      0.3(4)       5.10e-04   0.00  E2
   3074    21/2+     19/2+   266.5(10)       0.3(4)       2.70e-02   0.00  M1
   3074    21/2+     23/2-   373.2(10)       1.1(4)       3.91e-03   0.00  E1
   3074    21/2+     17/2+   507.9(10)       15.5(4)      5.79e-03   0.00  E2
   3074    21/2+     17/2+   520.9(10)       0.6(4)       5.38e-03   0.00  E2
   3074    21/2+     19/2-   728.6(10)       1.2(4)       8.20e-04   0.00  E1
   3074    21/2+     19/2-   1331.6(10)      8.2(4)       2.57e-04   0.00  E1
   3529    25/2+     23/2+   234.1(10)       0.9(4)       3.78e-02   0.00  M1
   3529    25/2+     21/2+   455.0(10)       20.4(4)      7.90e-03   0.00  E2
   3529    25/2+     23/2-   828.2(10)       2.9(4)       6.29e-04   0.00  E1
   4255    29/2+     27/2+   382.3(10)       0.4(4)       1.08e-02   0.00  M1
   4255    29/2+     25/2+   726.4(10)       15.5(4)      2.19e-03   0.00  E2
   5256    33/2+     31/2+   588.2(10)       0.4(4)       3.84e-03   0.00  M1
   5256    33/2+     29/2+   1001.2(10)      11.0(4)      1.02e-03   0.00  E2
   6402    37/2+     33/2+   1146.1(10)      8.2(4)       7.52e-04   0.00  E2
   7647    41/2+     37/2+   1245.1(10)      4.1(4)       6.31e-04   0.00  E2
   8967    45/2+     41/2+   1319.2(10)      1.8(4)       5.59e-04   0.00  E2
  10392    49/2+     45/2+   1425.6(10)      0.7(4)       4.78e-04   0.00  E2
  11899    53/2+     49/2+   1507.1(10)      0.2(4)       0.00e+00   0.00  E2
  13399    57/2+     53/2+   1500.0(10)      0.0(4)       0.00e+00   0.00  E2
   1763    15/2-   (13/2-)   406.7(10)       0.4(4)       9.27e-03   0.00  M1
   1763    15/2-     15/2-   793.2(10)       2.0(4)       1.92e-03   0.00  M1
   1763    15/2-     11/2-   1274.2(10)      1.6(4)       6.01e-04   0.00  E2
   2345    19/2-   (17/2-)   384.0(10)       0.8(4)       1.07e-02   0.00  M1
   2345    19/2-     15/2-   581.7(10)       4.1(4)       3.94e-03   0.00  E2
   2345    19/2-     19/2-   603.0(10)       9.0(4)       3.62e-03   0.00  M1
   2345    19/2-     15/2-   1374.9(10)      0.8(4)       5.14e-04   0.00  E2
   3153    23/2-     23/2-   453.0(10)       3.3(4)       7.11e-03   0.00  M1
   3153    23/2-     19/2-   808.4(10)       5.7(4)       1.68e-03   0.00  E2
   3153    23/2-     19/2-   1411.4(10)      0.6(4)       4.88e-04   0.00  E2
   4159    27/2-     27/2-   358.3(10)       0.5(4)       1.27e-02   0.00  M1
   4159    27/2-     23/2-   873.6(10)       0.7(4)       1.39e-03   0.00  E2
   4159    27/2-     23/2-   1005.4(10)      3.9(4)       1.00e-03   0.00  E2
   4159    27/2-     23/2-   1458.4(10)      0.6(4)       4.57e-04   0.00  E2
   5204    31/2-     31/2-   251.6(10)       0.3(4)       3.13e-02   0.00  M1
